Tehsil,Coordinates,Coordinates,Population
Bada Khari,11.740146,92.658726,169
Bamboo Nallaha & Kichad Nallaha,11.674976,92.761873,96
Beadnabad,11.673814,92.747949,782
Bejoy Nagar,11.829371,93.063651,1099
 Bharatpur,11.835427,93.045701,629
Bimilitan,11.64178,92.717157,2519
Brichgunj,11.611362,92.746223,3412
Brookshabad part,11.634181,92.742061,425
Calicut,11.599205,92.714428,4033
Chidiyatapu,11.505823,92.702152,388
Cinque Island,11.277105,92.699191,111
Dollygunj,11.637049,92.715105,3950
Govinda Nagar,12.031051,92.996378,2904
Krishna Nagar,12.007837,92.977857,769
Lakshmanpur,11.836828,93.020726,382
Minnie Bay part,11.641146,92.721657,45
Munda Pahar,11.490414,92.710189,2
Neil Kendra,11.832281,93.02931,1000
North Sentinel Island,11.550433,92.233602,15
Pahargaon part,11.628585,92.726217,3303
R.M.Point,11.67332,92.748582,6
Radha Nagar,11.984732,92.950838,637
Ram Nagar,11.822926,93.042087,755
Rangachang,11.58402,92.734884,384
Rutland,11.433351,92.648774,76
School Line part,11.642705,92.729231,498
Shyam Nagar,13.393436,92.931435,906
Sippighat,11.595938,92.680419,1522
Sitapur,11.818904,93.056172,274
Teylorabad,11.673525,92.744293,1878
Alipur,11.730319,92.674513,50
Aniket,11.719615,92.656001,129
Badmash Pahar,11.740217,92.658866,728
Balughat,11.688306,92.723981,3
Beach Dera,11.76147,92.667952,100
Between Middle Strait - Jirkatang,12.160161,92.755176,143
Bindraban,11.716422,92.670748,1785
Caddlegunj,11.689501,92.635227,845
Chouldari,11.640505,92.662282,2382
Coffee Plot,11.563385,92.239501,8
Colinpur,11.689417,92.609424,449
Craikabad,11.866936,92.638236,167
Dhanikhari,11.964304,92.678048,714
Dundas Point,11.677043,92.698824,539
Ferrargunj,11.719477,92.656116,1314
Flat Bay,11.63651,92.704855,5
Govindapuram,12.070588,92.66149,520
Guptapara,11.564013,92.659377,936
Hashmatabad,11.594891,92.645814,626
Hashmatabad,11.591762,92.649505,246
Herbertabad,11.71175,92.632117,369
Hobdipur,11.666174,92.650328,476
Homfreygunj,11.82895,92.527847,424
Hope Town,11.695248,92.737865,1258
Jhinga Nallaha,12.083724,92.650346,16
Jirkatang No.2,11.866833,92.653791,304
Kadakachang,11.718972,92.688585,538
Kalatang,11.797683,92.728954,116
Knapuram,11.757328,92.692715,1317
Malapuram,11.769548,92.721706,617
Manglutan,11.582056,92.656404,2280
Manjeri & Line Dera,11.543179,92.653019,613
Mannarghat,11.76478,92.721755,1259
Manpur,11.694112,92.657283,753
Mathura,11.735177,92.659404,801
Maymyo,11.601831,92.642293,406
Middle Strait,12.159868,92.754425,6
Mile Tilek,11.7936,92.673436,411
Mithakhari,11.672424,92.683957,1071
Mohwa Dera,12.553595,92.971455,14
Muslim Basti,11.769234,92.703936,343
Namunaghar,11.672503,92.697632,1926
Nayashahar,11.584681,92.686358,425
North Bay,11.704507,92.752292,1603
Ograbraij,11.665848,92.671104,1467
Pongi Balu & Bada Balu,12.053411,92.666579,12
Port Mouat,11.650341,92.660353,475
Shoal Bay,11.791742,92.765949,1373
Shore Point,11.701287,92.711447,3073
Stewartgunj,11.719927,92.71499,1172
Temple Myo,11.707944,92.62981,346
Tirur,11.725851,92.614115,233
Tusnabad,11.675914,92.643075,1320
Wandur,11.596382,92.622565,1437
Wimberlygunj,11.740135,92.709866,4010
Wright Myo,11.788594,92.726219,668
Butler Bay Forest,10.67088,92.574202,503
Dugong Creek,10.562345,92.41124,109
Forest Camp ,10.623878,92.508021,157
Harmender Bay,10.642765,92.548862,1264
Hut Bay,10.604475,92.534335,7075
Netaji Nagar,10.587635,92.526621,1001
Rabindra Nagar,10.720139,92.556106,2108
Ramakrishnapur,10.696743,92.568291,4248
Red Oil Palm,10.585305,92.543718,147
Vivekanandapuram,10.742511,92.555897,2190
Aerial Bay,13.281514,93.026363,820
Austin Creek,13.199982,92.928223,226
Beach Dera,12.553601,92.971311,302
Baskata Nallaha,12.913069,92.900298,261
Coffe Dera,13.245742,92.977305,94
Diglipur,13.26557,92.98329,4400
Durgapur,13.275725,93.031641,1320
Elezabeth Bay,13.496237,92.959566,190
Gandhi Nagar,13.249598,92.939555,920
Hara Tikry,13.090912,92.940518,260
Jagannath Dera,13.179295,93.029434,230
Hoary bay,13.205585,92.843298,170
Kalighat,13.117205,92.954108,1759
Kalipur,13.224665,93.044277,545
Keralapuram,13.259878,93.004627,647
Khudirampur,13.236459,92.96714,1328
Kishori Nagar,13.156782,92.873069,1328
Krishnapuri,13.250155,92.938279,355
 Lamiya Bay,13.205231,93.02287,83
Laxmipur,13.294161,92.956317,1234
Madhupur,13.263756,92.965234,2523
Madhyamgram,13.215844,92.907065,136
Milangram,13.318268,92.936393,905
Mohanpur,13.203848,92.887555,513
Mutha Nallaha,12.615337,92.957311,83
Nabagram,13.163927,92.942692,2208
Narcondam Island,13.444196,94.259064,120
Nischintapur,13.21286,92.870767,164
Paranghara,13.218348,92.86111,463
Paschimsagar,13.264179,92.882158,1038
Rabindrapalli,13.265179,92.982217,700
Radha Nagar,13.381047,92.942508,902
Ramakrishnagram,13.256414,92.994355,3221
Ramnagar,13.0756,93.025269,1235
Shibpur,13.242773,93.03013,900
Shyam Nagar,13.393564,92.93129,701
Sitanagar,13.237909,92.950455,2227
Smith,12.505547,92.911816,260
Srinagar,12.50602,92.914543,297
Subhashgram,13.246495,92.972134,2605
Swarajgram,13.346173,92.93718,940
Vidyasagarpalli,13.262807,92.982241,1127
Bajato,12.78196,92.813184,30
Nallaha,13.204607,92.98733,50
Basantipur,12.736211,92.889558,413
Chainpur,12.742531,92.81834,484
Danpur,12.908087,92.905703,798
Devpur,12.852943,92.877136,609
Dukennagar,12.91284,92.897724,801
Hanspuri,12.750749,92.761389,263
Harinagar,12.67552,92.883087,1902
Jaipur,12.702806,92.882201,543
Kamalapur,12.669119,92.882521,258
Karmatang Ix,12.858083,92.930003,99
Karmatang,12.843939,92.938782,1229
Lataw,12.912061,92.898008,456
Lauki Nallaha,12.070556,92.661447,745
Lucknow,12.860873,92.882738,874
Mayabunder,12.916935,92.897455,2845
Pahalgaon,12.840068,92.855756,1468
Paiket Bay,12.781847,92.916215,154
Pinakinagar,12.910426,92.905062,1011
Pokadera,12.910394,92.90169,1922
Profullya Nagar,12.346634,92.774961,458
Pudumadurai,12.753741,92.798369,404
Rampur,12.859356,92.919167,898
Swadesh Nagar,12.660291,92.888589,956
Tugapur,12.839734,92.853036,1872
Webi,12.836512,92.890447,654
Amkunj,12.512016,92.965815,548
Bejoygarh,12.240256,92.797356,299
Bharatpur,12.487436,92.885913,101
Cutbert Bay,12.675725,92.952791,238
Desharatpur,12.499344,92.937141,766
Dharmapur,12.645431,92.909456,388
Kadamtala,12.346381,92.775406,3008
Kanchangarh,12.185224,92.774614,243
Kaushalyanagar,12.539909,92.823872,1215
Island long,12.396421,92.934997,1028
Mithila,12.503008,92.90345,692
Nayagarh,12.148733,92.80624,330
Nilambur,12.175987,92.787964,1498
Nimbutala,12.500108,92.961868,3063
Panchawati,12.589165,92.950356,952
Parnasala,12.516703,92.911237,1004
Rampur,12.859247,92.919281,1349
Rangat,12.507382,92.914186,3784
Sabari,12.480666,92.902904,1018
Shivapuram,12.623466,92.925195,878
Shyamkund,12.496857,92.856804,294
Sundergarh,12.181076,92.806894,764
Uttara,12.345101,92.798937,1164
Arong,9.16241,92.749545,1194
Big Lapati,9.231567,92.789332,1098
Chuckchucha,9.216197,92.810429,1021
Iaf Camp,9.154379,92.824594,731
Kakana,9.158999,92.800647,841
Kimois,9.153625,92.762054,381
Kinmai,9.211917,92.777699,574
Kinyuka,9.207673,92.814417,1120
Malacca,9.171523,92.821102,1637
Mus,9.241027,92.782581,1553
Perka,9.177474,92.817056,2527
Sawai,9.211576,92.727898,1247
Small Lapati,9.214048,92.785523,938
Tamaloo,9.193229,92.8163,1515
Tapoiming,9.223179,92.797082,941
Teetop,9.208275,92.739514,522
Campbell Bay,7.00756,93.90479,5736
Govinda Nagar,12.030113,92.9957,676
Joginder Nagar,7.120482,93.783365,693
Laxmi Nagar,28.639753,77.284686,230
Pulloullo Puloulo,7.300853,93.688425,81
Pulopanja,7.367918,93.744493,75
Alhiat,7.120844,93.784095,190
Aloorang,8.339425,93.106398,271
Bengali,8.319844,93.114243,354
Berainak Badnak,8.119794,93.515122,188
Champin,8.023713,93.548804,143
Changup,8.029014,93.495311,146
Chota Inak,11.739925,92.658659,237
Chukmachi,8.232691,93.165729,237
Daring,8.102524,93.500325,115
Enam,7.120823,93.784116,223
Kakana,9.159097,92.800993,270
Kalasi,8.288555,93.108799,335
Minyuk,8.26377,93.128368,305
Payuha,8.005858,93.505784,24
Pilpilow,8.186961,93.489084,282
Raihion,8.455171,93.045176,276
Ramzoo,8.121299,93.478908,98
Upper Katchal,7.967536,93.359031,217
Vikas Nagar,8.119701,93.513115,235
